AmountMst	CategoryId	DisplayValue	dataAreaId
5443.75	75035		6005
5810	75035		6005
4000	75030	13100	6005
2000	75020		6005
49.9	82004	13100	6005
8400	75020		6005
37800	75020		6005
134.59	81002	13100	6005
19600	75020		6005
45000	75020		6005
18.23	82004	13100	6005
4000	75030	13100	6005
88800	75020		6005
29700	75020		6005
1532.96	85502	13100	6005
12358.75	75035		6005
2250	82012	13100	6005
13477.63	82012	13100	6005
9940	81002	13100	6005
5575.3	82012	13100	6005
3475	82012	13100	6005
1140	81002	13100	6005
340	82016	13100	6005
340	82016	13100	6005
42640	75035		6005
613.81	75020		6005
3376.09	75020		6005
3065.25	75020		6005
1882.73	75020		6005
14605.78	81002	13100	6005
1682.57	75020		6005
4921.54	75020		6005
1122.89	81002	13100	6005
1867.81	75020		6005
440.67	75020		6005
2643.13	81002	13100	6005
1602.22	75020		6005
1615	82016	13100	6005
680	80004	13100	6005
16810	81002	13100	6005
51750	75020		6005
62700	81002	13100	6005
872.89	82012	13100	6005
70202.44	75035		6005
599.89	82012	13100	6005
66114	82012	13100	6005
1393	82012	13100	6005
8760	81002	13100	6005
3636.36	81002	13100	6005
4110	81002	13100	6005
3000	75030	13100	6005
15000	75020		6005
81000	75020		6005
1532.96	85502	13100	6005
5000	75020		6005
8500	75020		6005
40500	75020		6005
1483.52	80001		6005
6500	75020		6005
40500	75020		6005
37300	81002	13100	6005
8258	75125		6005
32500	75020		6005
65700	75020		6005
18750	81002	13100	6005
1532.96	82003	13100	6005
13702	99001	13100	6005
3125	81002	13100	6005
13100	75020		6005
5000	75125		6005
26000	75020		6005
11000	75020		6005
2700	75020		6005
15000	75020		6005
3125	81002	13100	6005
423.82	82007	13100	6005
374.72	82007	13100	6005
7600	75020		6005
374.72	82007	13100	6005
1830	75125		6005
18250	82013		6005
18250	82013		6005
18250	82013		6005
18250	82013		6005
-151852.18	99004		6005
151852.18	99004		6005
19974.99	85011		6005
1058.4	81002	13100	6005
62.87	81003	13100	6005
62.87	81003	13100	6005
-62.87	81003	13100	6005
59.66	81004	13100	6005
172.52	82013		6005
7900	81002	13100	6005
10000	75020		6005
685.55	81002	13100	6005
4930	75020		6005
20000	75035		6005
5000	75030	13100	6005
-5000	99004		6005
5000	99004		6005
6765	81002	13100	6005
22573	81002	13100	6005
26.36	99004		6005
81.82	99004		6005
5000	75030	13100	6005
250	75030	13100	6005
900	99004		6005
2000	99004		6005
11500	81002	13100	6005
10000	99004		6005
5820	82004	13100	6005
1800	81003	13100	6005
2744	81002	13100	6005
4415	75080		6005
3200	75015		6005
1200	88002		6005
6000	82011	13100	6005
900	75015		6005
1021.08	99004		6005
850	99004		6005
1021.08	99004		6005
1021.08	99004		6005
1021.08	99004		6005
13000	75045		6005
1021.08	99004		6005
450	99004		6005
600	75035		6005
384.58	99004		6005
1021.08	99004		6005
1021.08	99004		6005
2934.8	81002	13100	6005
1021.08	99004		6005
953.35	81002	13100	6005
1891.37	81002	13100	6005
-499.95	99004		6005
499.95	99004		6005
750.56	81002	13100	6005
657.04	81002	13100	6005
3850	81003	13100	6005
1500	82004	13100	6005
1850	81002	13100	6005
3000	75010		6005
396.36	83017		6005
756.36	83012		6005
10000	75035		6005
600	75035		6005
6800	75035		6005
400	75010		6005
650	75010		6005
294	99004		6005
550	88002		6005
650	99004		6005
650	99004		6005
3196	82014		6005
1103.1	85011		6005
99	81002	13100	6005
546	81005	13100	6005
198	82010	13100	6005
119.09	99004		6005
31500	75035		6005
3500	75035		6005
87	83017		6005
-87	83017		6005
87	99004		6005
18000	75035		6005
20830	75020		6005
8036.7	81002	13100	6005
3444.3	81002	13100	6005
5374.8	81002	13100	6005
930	99004		6005
2805	75020		6005
990	75020		6005
2272.73	99004		6005
24532	75070		6005
3390	75035		6005
18000	82014		6005
-18000	82014		6005
1200	82014		6005
16673.88	75035		6005
16663.39	75035		6005
6000	75035		6005
13500	75035		6005
262.73	82016	13100	6005
79	82007	13100	6005
30500	75035		6005
813.64	81002	13100	6005
2850	75020		6005
4545.45	99004		6005
12600	75035		6005
10000	75035		6005
23213.89	75035		6005
16200	75035		6005
3600	75035		6005
34500	75035		6005
340	81002	13100	6005
3500	75035		6005
6000	75125		6005
10000	99004		6005
13750	75125		6005
13750	75125		6005
615	81002	13100	6005
475	81002	13100	6005
10442.5	81002	13100	6005
280.5	83017		6005
2900	81005	13100	6005
2900	81005	13100	6005
25256	81002	13100	6005
13368	81002	13100	6005
3240	99004		6005
7140	81002	13100	6005
20997.5	80004	13100	6005
-41995	80004	13100	6005
20997.5	80004	13100	6005
8354	82007	13100	6005
1875	82009	13100	6005
2780	82011	13100	6005
1870	82009	13100	6005
8427.85	82007	13100	6005
8212.5	80004	13100	6005
-8212.5	80004	13100	6005
317	80004	13100	6005
1080	81003	13100	6005
5856	80004	13100	6005
-5856	80004	13100	6005
1800	82003	13100	6005
1440	82011	13100	6005
2160	82003	13100	6005
1260	85012	13100	6005
9570	80004	13100	6005
-9570	80004	13100	6005
3540	88002		6005
-2514.48	88002		6005
2340	88002		6005
1660	88002		6005
2340	88002		6005
174.48	88002		6005
3540	88002		6005
1660	88002		6005
108.18	85001	13100	6005
108.18	85001	13100	6005
2432.18	85001	13100	6005
108.18	85001	13100	6005
108.18	85001	13100	6005
13000	75125		6005
275	81002	13100	6005
2310	81005	13100	6005
1755.6	82008	13100	6005
-1755.6	82008	13100	6005
1235	81002	13100	6005
2500	82004	13100	6005
400	85001	13100	6005
1100	99004		6005
4100	82002	13100	6005
2231.5	81002	13100	6005
2231.5	81002	13100	6005
7020	83017		6005
1500	75025		6005
3000	81002	13100	6005
3600	75005		6005
2000	75025		6005
968	81002	13100	6005
10740	81005	13100	6005
890	81005	13100	6005
19675	82002	13100	6005
11805	82002	13100	6005
7870	82002	13100	6005
1086.36	99004		6005
1086.36	99004		6005
1086.36	99004		6005
1086.36	99004		6005
1086.36	99004		6005
19500	82012	13100	6005
1285.71	81005	13100	6005
4714.29	81005	13100	6005
1086.36	99004		6005
365.71	81002	13100	6005
7114.25	81002	13100	6005
1086.36	99004		6005
1086.36	99004		6005
1086.36	99004		6005
200	85001	13100	6005
400	88002		6005
400	85001	13100	6005
400	85001	13100	6005
400	85001	13100	6005
400	85001	13100	6005
400	85001	13100	6005
2298	99004		6005
15912	99004		6005
730.93	99004		6005
4563	99004		6005
2142	83017		6005
15912	83017		6005
57273	99004		6005
57273	99004		6005
10442.5	81002	13100	6005
3263.64	81002	13100	6005
160	81002	13100	6005
3000	81002	13100	6005
6500	75125		6005
4049	81005	13100	6005
4049	81005	13100	6005
3249	81005	13100	6005
3249	81005	13100	6005
3249	81005	13100	6005
3249	81005	13100	6005
3549	81005	13100	6005
3549	81005	13100	6005
3549	81005	13100	6005
3549	81005	13100	6005
3315.67	81005	13100	6005
14825	75030	13100	6005
500	75030	13100	6005
7412.5	75030	13100	6005
7412.5	75030	13100	6005
950	75030	13100	6005
13600	75030	13100	6005
13850	75030	13100	6005
6800	75030	13100	6005
6800	75030	13100	6005
3800	83020	13100	6005
473.1	83020	13100	6005
445.08	83015	13100	6005
210	83020	13100	6005
5610	83020	13100	6005
3600	83020	13100	6005
3600	83020	13100	6005
3800	83020	13100	6005
6000	83006	13100	6005
4090.91	83020	13100	6005
3800	83020	13100	6005
3800	83020	13100	6005
3800	83020	13100	6005
3800	83020	13100	6005
1960	83001	13100	6005
28900	83012	13100	6005
26445.6	82012	13100	6005
76198	75020	13100	6005
39000	75020	13100	6005
5231.36	75020	13100	6005
7280	75065	13100	6005
2455	75105	13100	6005
105.84	81005	13100	6005
5610	83020	13100	6005
168.1	85012	13100	6005
2272	85501	13100	6005
11000	82004	13100	6005
108.18	83001	13100	6005
90	81002	13100	6005
3950	82002	13100	6005
1800	82002	13100	6005
260	81005	13100	6005
20997.5	80004	13100	6005
10459	81004	13100	6005
36	81004	13100	6005
13034.29	81002	13100	6005
400	85001	13100	6005
26250	75020	13100	6005
9860	75075	13100	6005
3500	75055	13100	6005
100713.89	75065	13100	6005
11567.75	75115	13100	6005
-21205.93	83017	13100	6005
154385.5	75070	13100	6005
24625	75075	13100	6005
38390	75065	13100	6005
10451.25	75115	13100	6005
41101.74	75070	13100	6005
36017	75075	13100	6005
54500	75095	13100	6005
7936	75105	13100	6005
18000	75055	13100	6005
83337.27	75065	13100	6005
127183.75	75115	13100	6005
13000	75130	13100	6005
40549.61	75070	13100	6005
33000	75075	13100	6005
28650	75095	13100	6005
32400	75065	13100	6005
18503.75	75115	13100	6005
54960	75070	13100	6005
997	82019	13100	6005
30744.87	83012	13100	6005
7320	82010	13100	6005
47936.71	83017	13100	6005
951.38	83005	13100	6005
38.15	82012	13100	6005
7449	83010	13100	6005
18172.01	82011	13100	6005
3745	83004	13100	6005
108	82009	13100	6005
198	82004	13100	6005
10220	82003	13100	6005
172.52	82014	13100	6005
6196	82009	13100	6005
2295	82005	13100	6005
38.5	85014	13100	6005
-9860	75020	13100	6005
-3500	75035	13100	6005
-100713.89	75035	13100	6005
-11567.75	75035	13100	6005
21205.93	83017	13100	6005
-154385.5	99004	13100	6005
-24625	75020	13100	6005
-38390	75035	13100	6005
-10451.25	75035	13100	6005
-41101.74	99004	13100	6005
-36017	75020	13100	6005
-54500	75030	13100	6005
-7936	75030	13100	6005
-18000	75035	13100	6005
-83337.27	75035	13100	6005
-127183.75	75035	13100	6005
-13000	75045	13100	6005
-40549.61	99004	13100	6005
-33000	75020	13100	6005
-28650	75030	13100	6005
-32400	75035	13100	6005
-18503.75	75035	13100	6005
-54960	99004	13100	6005
-997	80004	13100	6005
-30744.87	82003	13100	6005
-7320	82004	13100	6005
-47936.71	82004	13100	6005
-951.38	82005	13100	6005
-38.15	82006	13100	6005
-7449	82006	13100	6005
-18172.01	82007	13100	6005
-3745	82009	13100	6005
-108	82009	13100	6005
-198	82010	13100	6005
-10220	82011	13100	6005
-172.52	82013	13100	6005
-6196	82014	13100	6005
-2295	82016	13100	6005
-38.5	99004	13100	6005
-66630.5	82019	13100-10-120	6005
-18172.01	82011	13100-10-120	6005
7844.42	85001	13100	6005
2400	75025	13100	6005
3000	75020	13100	6005
15664.5	75020	13100	6005
4000	75115	13100	6005
10000	75105	13100	6005
9275	75105	13100	6005
4218.5	75105	13100	6005
20833.33	86001	13100	6005
1393	82012	13100	6005
7448	82012	13100	6005
800	75070	13100	6005
260	81005	13100	6005
715	81005	13100	6005
12541.2	81002	13100	6005
14940	75030	13100	6005
2921	80004	13100	6005
1656	80004	13100	6005
9610	75120	13100	6005
1483.52	85502	13100	6005
131.86	82003	13100	6005
10285.71	81005	13100	6005
3085.71	81002	13100	6005
5550	82002	13100	6005
5550	82002	13100	6005
3700	82002	13100	6005
7400	82002	13100	6005
1400	82002	13100	6005
1200	82002	13100	6005
7000	83009	13100	6005
3700	82002	13100	6005
7400	82002	13100	6005
1800	82002	13100	6005
7400	82002	13100	6005
1850	82002	13100	6005
1400	82002	13100	6005
1200	82002	13100	6005
4320	80004	13100	6005
4832	75105	13100	6005
3500	75030	13100	6005
41790	75105	13100	6005
6250	75105	13100	6005
7440	75020	13100	6005
380	82016	13100	6005
695	82016	13100	6005
380	82016	13100	6005
108.18	85001	13100	6005
19000	82003	13100	6005
9500	82003	13100	6005
2430	82012	13100	6005
2500	82012	13100	6005
26445.6	82012	13100	6005
220	82012	13100	6005
1000	82012	13100	6005
562.5	82012	13100	6005
280.5	82012	13100	6005
2244	82012	13100	6005
1496	82012	13100	6005
280.5	82012	13100	6005
187	82012	13100	6005
34.65	82012	13100	6005
93.5	82012	13100	6005
118.5	82012	13100	6005
-2017.15	82012	13100	6005
4040	83020	13100	6005
1318.68	82003	13100	6005
2300	81002	13100	6005
2298	81002	13100	6005
6000	83020	13100	6005
6112	82008	13100	6005
415	81004	13100	6005
2982	82008	13100	6005
220	81004	13100	6005
3000	75020	13100	6005
20833.33	86001	13100	6005
176	83008	13100	6005
3549	81005	13100	6005
1716	83001	13100	6005
3549	81005	13100	6005
3549	81005	13100	6005
2535	81005	13100	6005
300	85001	13100	6005
4000	82002	13100	6005
4040	83020	13100	6005
32500	75020	13100	6005
5550	81002	13100	6005
680	81002	13100	6005
600	82011	13100	6005
280	82011	13100	6005
2432	75105	13100	6005
23400	82001	13100	6005
99300	82001	13100	6005
-8212.5	82019	13100	6005
1245	82019	13100	6005
3600	80004	13100	6005
420	82019	13100	6005
3060	80004	13100	6005
8383.5	80004	13100	6005
1440	80004	13100	6005
1495	75115	13100	6005
400	85001	13100	6005
4005	75020	13100	6005
20833.33	86001	13100	6005
19250	75125	13100	6005
191.04	75125	13100	6005
12500	82006	13100	6005
2000	82008	13100	6005
9500	82003	13100	6005
